geneID,transcript_id,class,condition,bioemu_tier,bioemu_status,idr_percent,mean_disorder,max_disorder_window,n_idr_regions,longest_idr_region,n_conformations,n_residues,pass_rate,rmsf_mean,rmsf_std,rmsf_max,rmsf_nterm50,rmsf_cterm50,rg_mean,rg_std,rg_cv,contact_density,packing_density,sasa_per_residue,feature_source,error
AT1G01230,AT1G01230.1,0,depleted,2,completed,,0.3093,0.6985,2,19,48.0,157.0,0.96,2.7136,3.028,21.05,4.7215,1.8924,18.5338,0.8387,0.0453,9.1975,29.8116,27.4939,bioemu,
AT1G01300,AT1G01300.1,1,NS,2,completed,,0.267,0.7453,4,62,21.0,485.0,0.42,12.9167,8.7777,36.8298,25.2926,7.5561,28.8502,4.6588,0.1615,10.1938,28.767,21.5659,bioemu,
AT1G01450,AT1G01450.1,0,depleted,2,completed,,0.2519,0.6903,2,64,17.0,470.0,0.34,15.8863,7.5712,33.938,16.6827,25.6683,29.6816,3.0902,0.1041,8.1489,26.656,23.5553,bioemu,
AT1G01470,AT1G01470.1,0,depleted,1,not_run,,0.1759,0.3217,0,0,,151.0,,,,,,,,,,,,,af2_not_found,
AT1G01510,AT1G01510.1,1,HS,2,completed,,0.3833,0.9973,3,158,10.0,636.0,0.2,22.5541,9.4497,51.1013,26.8777,20.3324,43.4469,4.2002,0.0967,8.0157,25.3102,37.2966,bioemu,
AT1G01730,AT1G01730.1,0,depleted,3,completed,,0.7888,0.9967,2,96,15.0,224.0,0.15,27.507,8.7276,57.8618,35.5439,33.5286,47.9978,7.3252,0.1526,6.0179,22.556,129.2422,bioemu,
AT1G01910,AT1G01910.2,1,HS,1,not_run,,0.1879,0.4214,2,5,,353.0,,,,,,,,,,,,,af2_not_found,
AT1G02100,AT1G02100.1,1,HS,2,completed,,0.2145,0.6842,2,20,44.0,332.0,0.88,2.223,3.2611,27.3741,2.5578,5.4718,19.4906,0.3732,0.0191,9.3313,29.0165,14.3788,bioemu,
AT1G02130,AT1G02130.1,0,depleted,2,completed,,0.295,0.8105,1,37,37.0,203.0,0.74,5.6293,5.7998,31.537,3.6805,11.8853,17.9697,1.6988,0.0945,9.3892,27.8363,19.9891,bioemu,
AT1G02500,AT1G02500.1,1,HS,1,not_run,,0.1784,0.3012,0,0,,393.0,,,,,,,,,,,,,af2_not_found,
AT1G02816,AT1G02816.1,0,depleted,1,not_run,,0.2067,0.4735,1,7,,166.0,,,,,,,,,,,,,af2_not_found,
AT1G02930,AT1G02930.1,1,NS,1,not_run,,0.1615,0.2826,0,0,,208.0,,,,,,,,,,,,,af2_not_found,
AT1G03130,AT1G03130.1,1,HS,3,completed,,0.3929,0.6554,4,41,52.0,204.0,0.52,19.6195,8.4937,49.5319,28.8546,20.0951,35.0674,5.0718,0.1446,7.049,23.3386,75.7507,bioemu,
AT1G03330,AT1G03330.1,1,NS,1,not_run,,0.1623,0.2896,0,0,,93.0,,,,,,,,,,,,,af2_not_found,
AT1G03400,AT1G03400.2,1,NS,1,not_run,,0.2655,0.5587,5,11,,379.0,,,,,,,,,,,,,af2_not_found,
AT1G03760,AT1G03760.1,1,NS,3,completed,,0.7294,0.9929,3,241,16.0,391.0,0.16,27.1371,11.4817,56.6641,17.9518,44.2858,45.217,8.1572,0.1804,6.8593,24.5432,65.7108,bioemu,
AT1G04010,AT1G04010.1,0,depleted,1,not_run,,0.1788,0.4357,3,6,,633.0,,,,,,,,,,,,,af2_not_found,
AT1G04070,AT1G04070.1,0,depleted,1,not_run,,0.2487,0.4542,2,4,,94.0,,,,,,,,,,,,,af2_not_found,
AT1G04340,AT1G04340.1,0,depleted,2,completed,,0.3469,0.7213,2,22,47.0,159.0,0.94,1.7746,1.2188,9.0649,1.8056,2.0179,20.5512,0.3513,0.0171,8.7925,30.9219,33.3801,bioemu,
AT1G04350,AT1G04350.1,1,HS,1,not_run,,0.1601,0.4467,1,5,,360.0,,,,,,,,,,,,,af2_not_found,
AT1G04530,AT1G04530.1,1,HS,2,completed,,0.3501,0.8795,8,44,20.0,310.0,0.4,25.5816,9.8952,58.9097,40.8305,30.4847,42.7748,10.3727,0.2425,7.2774,25.8265,74.1694,bioemu,
AT1G04870,AT1G04870.2,1,HS,1,not_run,,0.2287,0.8263,2,27,,383.0,,,,,,,,,,,,,af2_not_found,
AT1G05210,AT1G05210.1,0,depleted,2,completed,,0.264,0.6452,2,23,49.0,168.0,0.98,2.0263,1.9373,14.6135,1.5219,3.1671,20.8225,0.6768,0.0325,9.0,30.4569,32.4313,bioemu,
AT1G05350,AT1G05350.1,1,NS,2,completed,,0.3388,0.9416,1,110,40.0,431.0,0.8,10.1975,8.2886,42.0239,11.9289,29.2614,34.0244,4.7805,0.1405,8.5522,27.6628,33.7531,bioemu,
AT1G05410,AT1G05410.1,0,depleted,2,completed,,0.3402,0.8199,6,45,31.0,471.0,0.62,21.6126,5.0733,46.0859,24.8108,20.2126,37.2972,4.8989,0.1313,8.0934,26.9707,37.1144,bioemu,
AT1G05680,AT1G05680.1,0,depleted,1,not_run,,0.2204,0.4558,1,6,,453.0,,,,,,,,,,,,,af2_not_found,
AT1G05790,AT1G05790.3,0,depleted,2,completed,,0.2834,0.9429,7,86,28.0,722.0,0.56,10.9861,6.2453,42.6823,10.8815,8.5669,35.3465,3.6867,0.1043,9.349,29.1834,21.7454,bioemu,
AT1G05805,AT1G05805.1,1,HS,3,completed,,0.7299,0.95,6,261,2.0,362.0,0.02,23.7319,15.4476,93.7492,37.5469,17.2437,58.3726,6.0454,0.1036,5.7238,21.815,118.2822,bioemu,
AT1G06030,AT1G06030.1,0,depleted,1,not_run,,0.1551,0.3392,0,0,,329.0,,,,,,,,,,,,,af2_not_found,
AT1G06160,AT1G06160.1,0,depleted,3,completed,,0.4699,0.9161,2,94,16.0,244.0,0.16,24.1165,8.9276,42.831,29.2252,35.2105,38.6528,6.2972,0.1629,7.2623,24.9306,76.9454,bioemu,
AT1G06210,AT1G06210.1,1,NS,3,completed,,0.5924,0.9978,12,96,9.0,383.0,0.09,22.621,9.6513,56.4493,24.2388,42.419,45.5253,5.5273,0.1214,7.4204,26.3192,68.0013,bioemu,
AT1G06420,AT1G06420.1,0,depleted,3,completed,,0.7717,0.8932,2,198,48.0,221.0,0.48,30.1495,7.0304,54.0998,28.4649,35.2319,45.8111,8.1408,0.1777,6.4525,26.3678,119.3326,bioemu,
AT1G06760,AT1G06760.1,1,HS,3,completed,,0.7669,0.9899,3,142,2.0,274.0,0.02,22.2496,6.4419,43.9093,27.8825,22.3393,58.723,3.6009,0.0613,5.2044,19.8316,158.1523,bioemu,
AT1G07040,AT1G07040.1,0,depleted,1,not_run,,0.2143,0.4986,2,10,,371.0,,,,,,,,,,,,,af2_not_found,
AT1G07190,AT1G07190.1,0,depleted,1,not_run,,0.1662,0.1752,0,0,,54.0,,,,,,,,,,,,,af2_not_found,
AT1G07250,AT1G07250.1,1,HS,1,not_run,,0.1651,0.2449,0,0,,479.0,,,,,,,,,,,,,af2_not_found,
AT1G07590,AT1G07590.1,0,depleted,1,not_run,,0.1798,0.5305,1,13,,534.0,,,,,,,,,,,,,af2_not_found,
AT1G07610,AT1G07610.1,0,depleted,1,not_run,,0.1457,0.1719,0,0,,45.0,,,,,,,,,,,,,af2_not_found,
AT1G07620,AT1G07620.2,0,depleted,3,completed,,0.4441,0.9784,14,97,10.0,578.0,0.1,42.5986,7.7981,72.6778,57.3748,34.9323,57.2045,10.6677,0.1865,6.5744,24.3506,71.1447,bioemu,
AT1G07660,AT1G07660.1,1,NS,2,completed,,0.3331,0.8214,1,26,47.0,103.0,0.94,6.4629,3.3951,21.3408,8.1875,4.8614,19.9016,1.9545,0.0982,7.3981,26.1807,48.3224,bioemu,
AT1G07720,AT1G07720.2,0,depleted,1,not_run,,0.1895,0.4279,3,3,,521.0,,,,,,,,,,,,,af2_not_found,
AT1G07960,AT1G07960.4,0,depleted,1,not_run,,0.2082,0.3906,1,5,,146.0,,,,,,,,,,,,,af2_not_found,
AT1G08180,AT1G08180.1,0,depleted,3,completed,,0.8804,0.9841,1,111,63.0,111.0,0.63,18.5002,5.8037,38.6139,19.6159,18.2537,37.551,8.9268,0.2377,5.9099,23.5921,159.6358,bioemu,
AT1G08250,AT1G08250.1,1,HS,3,completed,,0.35,0.8663,4,94,39.0,413.0,0.39,12.1813,7.8738,49.4238,26.4319,7.8032,28.3779,4.6751,0.1647,9.201,27.6672,24.503,bioemu,
AT1G08370,AT1G08370.1,1,both,3,completed,,0.6419,0.9863,2,228,9.0,367.0,0.09,34.1361,13.4299,61.3458,24.1559,46.2962,48.9022,11.305,0.2312,6.3978,22.8167,81.8841,bioemu,
AT1G08380,AT1G08380.1,1,HS,1,not_run,,0.2322,0.5102,2,9,,140.0,,,,,,,,,,,,,af2_not_found,
AT1G08570,AT1G08570.1,1,NS,2,completed,,0.2914,0.9051,2,42,22.0,275.0,0.44,19.3152,9.8023,58.5938,33.295,20.3514,40.7683,6.3995,0.157,7.1345,23.631,75.949,bioemu,
AT1G09160,AT1G09160.1,1,NS,1,not_run,,0.1987,0.6008,1,14,,428.0,,,,,,,,,,,,,af2_not_found,
